T_years,duration_hours,intensity_mm_per_hr
25,10.038922,15.8135
25,10.27184,15.5468
25,10.510162,15.2846
25,10.754013,15.0268
25,11.003522,14.7734
25,11.258821,14.5242
25,11.520042,14.2793
25,11.787324,14.0384
25,12.060807,13.8017
25,12.340636,13.5689
25,12.626957,13.34
25,12.919921,13.115
25,13.219683,12.8938
25,13.526399,12.6764
25,13.840231,12.4626
25,14.161345,12.2524
25,14.48991,12.0457
25,14.826097,11.8426
25,15.170085,11.6428
25,15.522053,11.4465
25,15.882188,11.2534
25,16.250678,11.0636
25,16.627718,10.877
25,17.013506,10.6936
25,17.408244,10.5132
25,17.812141,10.3359
25,18.22541,10.1616
25,18.648266,9.9902
25,19.080934,9.8217
25,19.52364,9.6561
25,19.976617,9.4932
25,20.440104,9.3331
25,20.914345,9.1757
25,21.399589,9.0209
25,21.896091,8.8688
25,22.404113,8.7192
25,22.923922,8.5721
25,23.455791,8.4276
25,24.0,8.2854
50,0.25,295.0029
50,0.2558,290.0275
50,0.261735,285.1359
50,0.267808,280.3269
50,0.274022,275.5989
50,0.280379,270.9507
50,0.286884,266.3809
50,0.293541,261.8882
50,0.300351,257.4713
50,0.30732,253.1288
50,0.31445,248.8596
50,0.321746,244.6624
50,0.329211,240.5359
50,0.336849,236.4791
50,0.344664,232.4907
50,0.352661,228.5695
50,0.360843,224.7145
50,0.369215,220.9245
50,0.377782,217.1985
50,0.386547,213.5352
50,0.395515,209.9338
50,0.404692,206.3931
50,0.414081,202.9121
50,0.423689,199.4898
50,0.433519,196.1253
50,0.443577,192.8175
50,0.453869,189.5655
50,0.464399,186.3683
50,0.475174,183.225
50,0.486199,180.1348
50,0.497479,177.0967
50,0.509021,174.1098
50,0.520831,171.1733
50,0.532916,168.2863
50,0.54528,165.448
50,0.557931,162.6576
50,0.570876,159.9143
50,0.584121,157.2172
50,0.597674,154.5656
50,0.611541,151.9587
50,0.625729,149.3958
50,0.640247,146.8761
50,0.655102,144.3989
50,0.670301,141.9635
50,0.685853,139.5692
50,0.701766,137.2153
50,0.718048,134.901
50,0.734708,132.6258
50,0.751754,130.389
50,0.769196,128.1899
